Session identifier;38155;0,197708333; 14:31:52;;;;;;;
77;-79;;;;;;;;;
78;-80;;;;;;;;;
79;-79;;;;;;;;;
80;-78;;;;;;;;;
82;-79;;;;;;;;;
83;-79;;;;;;;;;
84;-77;;;;;;;;;
85;-78;;;;;;;;;
86;-76;;;;;;;;;
87;-77;;;;;;;;;
88;-77;;;;;;;;;
90LKW6;;;;;;;;;;
9?;?7??;;;;;;;;;
92;-76;;;;;;;;;
93;-76;;;;;;;;;
94;-77;;;;;;;;;
15;-77;;;;;;;;;
j?N??R??@???);;;;;;;;;;
B;33073;75;13:33:9:97;51.451.360.000;5.486.643.333;3;A;92l7];;
59;-94;;;;;;;;;
60;-97;;;;;;;;;
61;-99;;;;;;;;;
62;-99;;;;;;;;;
63;-98;;;;;;;;;
64;-97;;;;;;;;;
66;-98;;;;;;;;;
67;-98;;;;;;;;;
68;-99;;;;;;;;;
69;-100;;;;;;;;;
70;-100;;;;;;;;;
71;-100;;;;;;;;;
72;-100;;;;;;;;;
73;-101;;;;;;;;;
74;-100;;;;;;;;;
75;-100;;;;;;;;;
76;-99;;;;;;;;;
77;-99;;;;;;;;;
78;-99;;;;;;;;;
79;-97;;;;;;;;;
80;-99;;;;;;;;;
82;-100;;;;;;;;;
83;-100;;;;;;;;;
C;58977;71;13:33:11:0;51.451.371.667;5.485.870.000;10;A;9292;;
65;-99;;;;;;;;;
67;-100;;;;;;;;;
68;-101;;;;;;;;;
69;-101;;;;;;;;;
70;-100;;;;;;;;;
?R;-100;;;;;;;;;
72;-102;;;;;;;;;
73;-103;;;;;;;;;
74;-100;;;;;;;;;
75;-104;;;;;;;;;
76;-101;;;;;;;;;
77;-103;;;;;;;;;
79;-100;;;;;;;;;
80;-102;;;;;;;;;
82;-99;;;;;;;;;
83;-102;;;;;;;;;
84;-100;;;;;;;;;
85;-102;;;;;;;;;
86;-102;;;;;;;;;
87;-101;;;;;;;;;
88;-104;;;;;;;;;
89;-102;;;;;;;;;
C;58977;71;13:33:11:0;51.451.371.667;5.485.870.000;10;A;9292;;
90;-102;;;;;;;;;
y5;-103;;;;;;;;;
92;-101;;;;;;;;;
93;-101;;;;;;;;;
95;-102;;;;;;;;;
96;-102;;;;;;;;;
97;-99;;;;;;;;;
98;-102;;;;;;;;;
99;-102;;;;;;;;;
100;-100;;;;;;;;;
101;-103;;;;;;;;;
102;-101;;;;;;;;;
103;-99;;;;;;;;;
104;-98;;;;;;;;;
105;-102;;;;;;;;;
106;-101;;;;;;;;;
107;-100;;;;;;;;;
108;-1?8m4?T?}~.n??{?U?)0*?n?-b?2;;;;;;;;;
E;32828;67;13:33:14:0;51.451.798.333;5.486.191.667;7;A;9292;;
81;-98;;;;;;;;;
82;-95;;;;;;;;;
83;-95;;;;;;;;;
84;-96;;;;;;;;;
85;-100;;;;;;;;;
86;-98;;;;;;;;;
87;-99;;;;;;;;;
88;-98;;;;;;;;;
90;-99;;;;;;;;;
91;-99;;;;;;;;;
92;-100;;;;;;;;;
93;-100;;;;;;;;;
94;-98;;;;;;;;;
95;-94;;;;;;;;;
96;-97;;;;;;;;;
97;-95;;;;;;;;;
98;-93;;;;;;;;;
99;-94;;;;;;;;;
100;-92;;;;;;;;;
101;-93;;;;;;;;;
102;-93;;;;;;;;;
103;-93;;;;;;;;;
104;-92;;;;;;;;;
