Session identifier;38155;0,197708333; 14:31:52;;;;;;;
215;-93;;;;;;;;;
216;-95;;;;;;;;;
217;-101;;;;;;;;;
218;-96;;;;;;;;;
219;-93;;;;;;;;;
220;-94;;;;;;;;;
221;-93;;;;;;;;;
222;-92;;;;;;;;;
223;-92;;;;;;;;;
224;-94;;;;;;;;;
226;-97;;;;;;;;;
227;-91;;;;;;;;;
228;-88;;;;;;;;;
229;-89;;;;;;;;;
230;???=???w&;;;;;;;;;
G;98994;62;13:33:38:0;51.452.160.000;5.486.626.667;7;A;9292;;
195;-79;;;;;;;;;
196;-81;;;;;;;;;
197;-81;;;;;;;;;
198;-82;;;;;;;;;
199;-83;;;;;;;;;
200;-82;;;;;;;;;
201;-82;;;;;;;;;
202;-81;;;;;;;;;
203;-80;;;;;;;;;
204;-82;;;;;;;;;
205;-81;;;;;;;;;
206;-82;;;;;;;;;
207;-83;;;;;;;;;
208;-83;;;;;;;;;
209;-83;;;;;;;;;
210;-83;;;;;;;;;
211;-83;;;;;;;;;
212;-82;;;;;;;;;
213;-83;;;;;;;;;
214;-84;;;;;;;;;
215;-83;;;;;;;;;
216;-84;;;;;;;;;
G;98994;62;13:33:38:0;51.452.160.000;5.486.626.667;7;A;9292;;
217;-83;;;;;;;;;
218;-83;;;;;;;;;
219;-84;;;;;;;;;
220;-84;;;;;;;;;
221;-84;;;;;;;;;
222;-84;;;;;;;;;
223;-85;;;;;;;;;
224;-86;;;;;;;;;
226;-88;;;;;;;;;
227;-88;;;;;;;;;
228;-86;;;;;;;;;
229;-87;;;;;;;;;
230;-88;;;;;;;;;
231;-87;;;;;;;;;
232;-88;;;;;;;;;
234;-88;;;;;;;;;
235;-88;;;;;;;;;
236;-88;;;;;;;;;
2???e}??03&6??B;16686;2;13:33:40:38;51.451.358.333;5.486.630.000;9;A;9292;;
201;-96;;;;;;;;;
202;-97;;;;;;;;;
203;-95;;;;;;;;;
204;-95;;;;;;;;;
205;-95;;;;;;;;;
206;-97;;;;;;;;;
207;-95;;;;;;;;;
208;-94;;;;;;;;;
210;-99;;;;;;;;;
211;-99;;;;;;;;;
212;-101;;;;;;;;;
213;-99;;;;;;;;;
214;-101;;;;;;;;;
215;-102;;;;;;;;;
216;-101;;;;;;;;;
217;-99;;;;;;;;;
21<(m100;;;;;;;;;;
"""19";-100;;;;;;;;;
220;-101;;;;;;;;;
221;-103;;;;;;;;;
223;-102;;;;;;;;;
B;16686;2;13:33:40:38;51.45358333;5.486.630.000;9;A;9292;;
234;-103;;;;;;;;;
226?-101;;;;;;;;;;
227;-99;;;;;;;;;
228;-98;;;;;;;;;
229;-99;;;;;;;;;
230;-97;;;;;;;;;
231;-98;;;;;;;;;
232;-98;;;;;;;;;
233;-99;;;;;;;;;
234;-99;;;;;;;;;
235;-99;;;;;;;;;
236;-98;;;;;;;;;
237;-100;;;;;;;;;
2??;?98;;;;;;;;;
246;-103;;;;;;;;;
241;-103;;;;;;;;;
242;-98;;;;;;;;;
243;-Q???5?<??*Rg`??k???;;;;;;;;;
C;58977;74;13:33:42:0;51.451.371.667;5.485.870.000;10;A;9292;;
210;-94;;;;;;;;;
211;-97;;;;;;;;;
212;-98;;;;;;;;;
213;-97;;;;;;;;;
214;-99;;;;;;;;;
215;-94;;;;;;;;;
216;-99;;;;;;;;;
217;-98;;;;;;;;;
218;-97;;;;;;;;;
219;-99;;;;;;;;;
220;-97;;;;;;;;;
221;-100;;;;;;;;;
222;-99;;;;;;;;;
223;-99;;;;;;;;;
224;-99;;;;;;;;;
226;-99;;;;;;;;;
227;-99;;;;;;;;;
228;-98;;;;;;;;;
229;-99;;;;;;;;;
230;-99;;;;;;;;;
231;-101;;;;;;;;;
C;58977;74;13:33:42:0;51.451.371.667;5.485.870.000;10;A;9292;;
232;-100;;;;;;;;;
233;-98;;;;;;;;;
234;-99;;;;;;;;;
235;-97;;;;;;;;;
236;-99;;;;;;;;;
237;-99;;;;;;;;;
238;-98;;;;;;;;;
239;-100;;;;;;;;;
240;-99;;;;;;;;;
241;-100;;;;;;;;;
242;-101;;;;;;;;;
243;-103;;;;;;;;;
245;-101;;;;;;;;;
246;-102;;;;;;;;;
247;-102;;;;;;;;;
248;-99;;;;;;;;;
250;-97;;;;;;;;;
251;-101>????? ?@?Sn?4;;;;;;;;;
C;58977;74;"13:33:$?f""?%u?f??XcO""?:g/=";;;;;;;
D??i?9;1;A;9292;;;;;;;
254;-97;;;;;;;;;
255;-99;;;;;;;;;
E;32828;70;13:33:45:0;51.451.798.333;5.486.193.333;6;A;9292;;
226;-90;;;;;;;;;
227;-91;;;;;;;;;
228;-92;;;;;;;;;
229;-89;;;;;;;;;
230;-92;;;;;;;;;
231;-93;;;;;;;;;
232;-92;;;;;;;;;
234;-93;;;;;;;;;
235;-89;;;;;;;;;
236;-91;;;;;;;;;
237;-89;;;;;;;;;
238;-89;;;;;;;;;
239;-88;;;;;;;;;
240;-87;;;;;;;;;
242;-88;;;;;;;;;
243;-89;;;;;;;;;
244;-87;;;;;;;;;
245;-86;;;;;;;;;
246;-86;;;;;;;;;
247;-86;;;;;;;;;
248;-86;;;;;;;;;
250;-87;;;;;;;;;
E;32828;70;13:33:45:0;51.451.798.333;5.486.193.333;6;A;9292;;
251;-88;;;;;;;;;
252;-88;;;;;;;;;
253;-88;;;;;;;;;
254;-90;;;;;;;;;
255;-89;;;;;;;;;
256;-88;;;;;;;;;
259;-84;;;;;;;;;
260;-86;;;;;;;;;
261;-85;;;;;;;;;
262;-86;;;;;;;;;
263;-86;;;;;;;;;
264;-85;;;;;;;;;
265;-88;;;;;;;;;
266;-88;;;;;;;;;
267;-87;;;;;;;;;
268;-88;;;;;;;;;
269;-90;;;;;;;;;
270;-90;;;;;;;;;
2??$?MQ;;;;;;;;;;
F;75450;62;13:33:47:0;51.452.178.333;5.485.840.000;9;A;9292;;
234;-88;;;;;;;;;
235;-88;;;;;;;;;
236;-89;;;;;;;;;
237;-91;;;;;;;;;
238;-93;;;;;;;;;
239;-96;;;;;;;;;
240;-96;;;;;;;;;
242;-93;;;;;;;;;
243;-94;;;;;;;;;
244;-94;;;;;;;;;
245;-99;;;;;;;;;
246;-103;;;;;;;;;
247;-101;;;;;;;;;
248;-98;;;;;;;;;
249;-94;;;;;;;;;
250;-94;;;;;;;;;
251;-97;;;;;;;;;
252;-103;;;;;;;;;
253;-102;;;;;;;;;
254;-100;;;;;;;;;
255;-102;;;;;;;;;
F;75450;62;13:33:47:0;51.452.178.333;5.485.840.000;9;A;9292;;
256;-102;;;;;;;;;
257;-96;;;;;;;;;
259;-92;;;;;;;;;
260;-90;;;;;;;;;
261;-89;;;;;;;;;
262;-89;;;;;;;;;
263;-90;;;;;;;;;
264;-91;;;;;;;;;
265;-91;;;;;;;;;
266;-91;;;;;;;;;
267;-91;;;;;;;;;
268;-91;;;;;;;;;
269;-93;;;;;;;;;
270;-95;;;;;;;;;
271;-96;;;;;;;;;
272;-100;;;;;;;;;
274;-88;;;;;;;;;
275;-88;;;;;;;;;
"276$???p6&v?ZM2;~m?H?\??\???B??";;;;;;;;;;
G;98994;63;13:33:49:0;51.452.171.667;5.486.636.667;8;A;9292;;
242;-86;;;;;;;;;
243;-89;;;;;;;;;
244;-89;;;;;;;;;
245;-89;;;;;;;;;
246;-90;;;;;;;;;
247;-89;;;;;;;;;
248;-89;;;;;;;;;
249;-88;;;;;;;;;
250;-88;;;;;;;;;
251;-88;;;;;;;;;
252;-88;;;;;;;;;
253;-88;;;;;;;;;
254;-89;;;;;;;;;
255;-90;;;;;;;;;
256;-89;;;;;;;;;
257;-92;;;;;;;;;
258;-92;;;;;;;;;
259;-93;;;;;;;;;
260;-98;;;;;;;;;
261;-96;;;;;;;;;
262;-94;;;;;;;;;
263;-96;;;;;;;;;
G;98994;63;13:33:49:0;51.452.171.667;5.486.636.667;8;A;9292;;
264;-94;;;;;;;;;
265;-92;;;;;;;;;
266;-95;;;;;;;;;
267;-93;;;;;;;;;
268;-93;;;;;;;;;
269;-93;;;;;;;;;
270;-94;;;;;;;;;
271;-94;;;;;;;;;
272;-95;;;;;;;;;
274;-95;;;;;;;;;
275;-96;;;;;;;;;
276;-97;;;;;;;;;
277;-94;;;;;;;;;
278;-97;;;;;;;;;
279;-96;;;;;;;;;
280;-98;;;;;;;;;
282;-94;;;;;;;;;
283;-95;;;;;;;;;
2h4d;]??Ax?O;;;;;;;;;
"?)?1???w??|2??	";;;;;;;;;;
G;9x????:po?j???KsD@????????4967;5.486.636.667;8;A;9292;;;;;
;;;;;;;;;;
B;16686;3;13:33:50:0;51.451.363.333;5.486.613.333;9;A;9292;;
>??;-101;;;;;;;;;
252;-102;;;;;;;;;
254;?10m;;;;;;;;;
255;-100;;;;;;;;;
256;-99;;;;;;;;;
259;-98;;;;;;;;;
260;-99;;;;;;;;;
#70;-99;;;;;;;;;
266;-;;;;;;;;;
263;-98;;;;;;;;;
264;-99;;;;;;;;;
265;-99;;;;;;;;;
3?6;-9<?J267;-98;;;;;;;;
268;-97;;;;;;;;;
269;-95?B;16686;3;13:33:50:0;51.451.363.333;5.486.613.333;9;A;9292;
276;-99;;;;;;;;;
277;-101;;;;;;;;;
278;-102;;;;;;;;;
279;-101;;;;;;;;;
280;-100;;;;;;;;;
281;-99;;;;;;;;;
282;-99;;;;;;;;;
283;-96;;;;;;;;;
284;-96;;;;;;;;;
285;-97;;;;;;;;;
286;-98;;;;;;;;;
287;-99;;;;;;;;;
288;-98;;;;;;;;;
2?84%99;;;;;;;;;;
290;-99;;;;;;;;;
:91;-98;;;;;;;;;
292;-98;;;;;;;;;
r=w;-96];;;;;;;;;
29<?'YO?>?]??Y???;;;;;;;;;;
C;58977;75;13:33:52:0;51.451.371.667;5.485.870.000;10;A;9292;;
259;-97;;;;;;;;;
260;-97;;;;;;;;;
261;-95;;;;;;;;;
262;-98;;;;;;;;;
263;-97;;;;;;;;;
264;-97;;;;;;;;;
265;-100;;;;;;;;;
266;-99;;;;;;;;;
267;-98;;;;;;;;;
268;-99;;;;;;;;;
269;-98;;;;;;;;;
270;-98;;;;;;;;;
271;-95;;;;;;;;;
272;-96;;;;;;;;;
274;-96;;;;;;;;;
275;-96;;;;;;;;;
276;-95;;;;;;;;;
277;-97;;;;;;;;;
278;-97;;;;;;;;;
279;-96;;;;;;;;;
280;-96;;;;;;;;;
C;58977;75;13:33:52:0;51.451.371.667;5.485.870.000;10;A;9292;;
281;-98;;;;;;;;;
282;-96;;;;;;;;;
283;-98;;;;;;;;;
284;-97;;;;;;;;;
285;-99;;;;;;;;;
286;-97;;;;;;;;;
287;-98;;;;;;;;;
288;-97;;;;;;;;;
289;-95;;;;;;;;;
290;-94;;;;;;;;;
291;-94;;;;;;;;;
292;-94;;;;;;;;;
293;-95;;;;;;;;;
294;-94;;;;;;;;;
295;-96;;;;;;;;;
296;-96;;;;;;;;;
298;-96;;;;;;;;;
299;-96;;;;;;;;;
300;-97?38M?????8{??1MD?51G??!8?;;;;;;;;;
E;32828;71;13:33:57:0;51.451.801.667;5.486.193.333;7;A;9292;;
274;-92;;;;;;;;;
275;-97;;;;;;;;;
276;-94;;;;;;;;;
277;-94;;;;;;;;;
278;-93;;;;;;;;;
279;-95;;;;;;;;;
280;-95;;;;;;;;;
282;-86;;;;;;;;;
283;-87;;;;;;;;;
284;-87;;;;;;;;;
285;-86;;;;;;;;;
286;-88;;;;;;;;;
287;-86;;;;;;;;;
288;-86;;;;;;;;;
291;-87;;;;;;;;;
292;-85;;;;;;;;;
293;-84;;;;;;;;;
294;-84;;;;;;;;;
295;-84;;;;;;;;;
296;-84;;;;;;;;;
298;-84;;;;;;;;;
299;-83;;;;;;;;;
E;32828;71;13:33:57:0;51.451.801.667;5.486.193.333;7;A;9292;;
300;-83;;;;;;;;;
301;-83;;;;;;;;;
302;-82;;;;;;;;;
303;-82;;;;;;;;;
304;-82;;;;;;;;;
306;-84;;;;;;;;;
307;-84;;;;;;;;;
308;-83;;;;;;;;;
309;-83;;;;;;;;;
310;-83;;;;;;;;;
311;-84;;;;;;;;;
312;-84;;;;;;;;;
313;-85;;;;;;;;;
314;-85;;;;;;;;;
315;-85;;;;;;;;;
316;-85;;;;;;;;;
317;-85;;;;;;;;;
318;-86;;;;;;;;;
3??;?N?;;;;;;;;;
F;75450;63;13:33:57:0;51.452.178.333;5.485.840.000;9;A;9292;;
282;-96;;;;;;;;;
283;-97;;;;;;;;;
284;-97;;;;;;;;;
285;-94;;;;;;;;;
286;-92;;;;;;;;;
287;-91;;;;;;;;;
288;-90;;;;;;;;;
291;-96;;;;;;;;;
292;-96;;;;;;;;;
293;-95;;;;;;;;;
294;-94;;;;;;;;;
295;-94;;;;;;;;;
296;-94;;;;;;;;;
297;-99;;;;;;;;;
298;-102;;;;;;;;;
299;-102;;;;;;;;;
300;-100;;;;;;;;;
301;-99;;;;;;;;;
302;-98;;;;;;;;;
303;-100;;;;;;;;;
304;-97;;;;;;;;;
F;75450;63;13:33:57:0;51.452.178.333;5.485.840.000;9;A;9292;;
307;-97;;;;;;;;;
308;-95;;;;;;;;;
309;-93;;;;;;;;;
310;-92;;;;;;;;;
311;-93;;;;;;;;;
312;-95;;;;;;;;;
313;-100;;;;;;;;;
31T;-104;;;;;;;;;
315;-103;;;;;;;;;
316;-98;;;;;;;;;
317;-97;;;;;;;;;
318;-95;;;;;;;;;
319;-93;;;;;;;;;
320;-92;;;;;;;;;
322;-94;;;;;;;;;
323;-94;;;;;;;;;
324;-95;;;;;;;;;
325;-96;;;;;;;;;
32?;?8?:?T;;;;;;;;;
???K;;;;;;;;;;
G;98994;64;13:33:59:0;51.452.176.667;5.486.633.333;7;A;9292;;
291;-94;;;;;;;;;
292;-96;;;;;;;;;
293;-96;;;;;;;;;
294;-94;;;;;;;;;
295;-94;;;;;;;;;
296;-95;;;;;;;;;
297;-98;;;;;;;;;
298;-96;;;;;;;;;
299;-94;;;;;;;;;
300;-95;;;;;;;;;
301;-95;;;;;;;;;
302;-95;;;;;;;;;
303;-94;;;;;;;;;
304;-96;;;;;;;;;
305;-94;;;;;;;;;
306;-97;;;;;;;;;
307;-96;;;;;;;;;
308;-96;;;;;;;;;
309;-95;;;;;;;;;
310;-96;;;;;;;;;
311;-96;;;;;;;;;
312;-96;;;;;;;;;
G;98994;64;13:33:59:0;51.452.176.667;5.486.633.333;7;A;9292;;
313;-95;;;;;;;;;
314;-96;;;;;;;;;
315;-97;;;;;;;;;
316;-97;;;;;;;;;
317;-97;;;;;;;;;
318;-97;;;;;;;;;
319;-96;;;;;;;;;
320;-95;;;;;;;;;
322;-97;;;;;;;;;
323;-96;;;;;;;;;
324;-95;;;;;;;;;
325;-96;;;;;;;;;
326;-97;;;;;;;;;
327;-96;;;;;;;;;
328;-96;;;;;;;;;
330;-95;;;;;;;;;
331;-97;;;;;;;;;
332;-96;;;;;;;;;
"3#3??LX???&?9??.lo""";;;;;;;;;;
B;16686;4;13:34:1:0;51.451.348.333;5.486.626.667;9;A;9292;;
298;-89;;;;;;;;;
299;-90;;;;;;;;;
300;-92;;;;;;;;;
301;-93;;;;;;;;;
302;-93;;;;;;;;;
303;-94;;;;;;;;;
304;-94;;;;;;;;;
306;-95;;;;;;;;;
307;-96;;;;;;;;;
308;-97;;;;;;;;;
309;-98;;;;;;;;;
310;-101;;;;;;;;;
311;-103;;;;;;;;;
312;-101;;;;;;;;;
315;-102;;;;;;;;;
?16;-100;;;;;;;;;
317;-102;;;;;;;;;
318;-102;;;;;;;;;
319;-103;;;;;;;;;
320;-101;;;;;;;;;
322;-99;;;;;;;;;
B;16686;4;13:34:1:0;51.451.348.333;5.486.626.667;9;A;9292;;
323;-98;;;;;;;;;
324;-99;;;;;;;;;
325;-98;;;;;;;;;
326;-99;;;;;;;;;
327;-100;;;;;;;;;
328;-97;;;;;;;;;
329;-95;;;;;;;;;
330;-96;;;;;;;;;
331;-96;;;;;;;;;
332;-94;;;;;;;;;
333;-94;;;;;;;;;
334;-94;;;;;;;;;
335;-92;;;;;;;;;
336;-90;;;;;;;;;
337;-93;;;;;;;;;
338;-92;;;;;;;;;
339;-92;;;;;;;;;
340;-93;;;;;;;;;
341;"-9;?r?&?""?N[l?{???";;;;;;;;;
C;58977;76;13:34:2:0;51.451.371.667;5.485.870.000;10;A;9292;;
306;-94;;;;;;;;;
307;-100;;;;;;;;;
308;-102;;;;;;;;;
309;-100;;;;;;;;;
310;-99;;;;;;;;;
311;-99;;;;;;;;;
312;-102;;;;;;;;;
313;-101;;;;;;;;;
314;-100;;;;;;;;;
315;-100;;;;;;;;;
316;-96;;;;;;;;;
317;-100;;;;;;;;;
318;-98;;;;;;;;;
319;-99;;;;;;;;;
320;-98;;;;;;;;;
322;-101;;;;;;;;;
323;-103;;;;;;;;;
324;-102;;;;;;;;;
325;-102;;;;;;;;;
326;-98;;;;;;;;;
C;58977;76;13:34:2:0;51.451.371.667;5.485.870.000;10;A;9292;;
327;-101;;;;;;;;;
328;-99;;;;;;;;;
329;-95;;;;;;;;;
330;-95;;;;;;;;;
331;-96;;;;;;;;;
332;-96;;;;;;;;;
333;-97;;;;;;;;;
334;-97;;;;;;;;;
335;-95;;;;;;;;;
336;-94;;;;;;;;;
337;-95;;;;;;;;;
338;-94;;;;;;;;;
339;-94;;;;;;;;;
340;-94;;;;;;;;;
341;-94;;;;;;;;;
342;-97;;;;;;;;;
343;-96;;;;;;;;;
344;-95;;;;;;;;;
346;-93;;;;;;;;;
*?<?4???n??uC;58977;76;"13:34:??Vt?	D	?Lu5?C??.???Q???=z 10";A;9292;;;;;
349;-91;;;;;;;;;
350;-93;;;;;;;;;
351;-93;;;;;;;;;
E;32828;72;13:34:6:0;51.451.800.000;5.486.193.333;7;A;9292;;
322;-89;;;;;;;;;
323;-91;;;;;;;;;
324;-94;;;;;;;;;
325;-94;;;;;;;;;
326;-97;;;;;;;;;
327;-102;;;;;;;;;
328;-93;;;;;;;;;
330;-85;;;;;;;;;
331;-86;;;;;;;;;
332;-85;;;;;;;;;
333;-84;;;;;;;;;
334;-84;;;;;;;;;
335;-83;;;;;;;;;
336;-83;;;;;;;;;
338;-88;;;;;;;;;
339;-89;;;;;;;;;
340;-90;;;;;;;;;
341;-93;;;;;;;;;
342;-96;;;;;;;;;
343;-93;;;;;;;;;
344;-91;;;;;;;;;
346;-92;;;;;;;;;
E;32828;72;13:34:6:0;51.451.800.000;5.486.193.333;7;A;9292;;
347;-91;;;;;;;;;
348;-91;;;;;;;;;
349;-89;;;;;;;;;
350;-89;;;;;;;;;
351;-87;;;;;;;;;
352;-85;;;;;;;;;
355;-88;;;;;;;;;
356;-89;;;;;;;;;
357;-90;;;;;;;;;
358;-90;;;;;;;;;
359;-87;;;;;;;;;
360;-88;;;;;;;;;
361;-89;;;;;;;;;
362;-90;;;;;;;;;
363;-93;;;;;;;;;
364;-102;;;;;;;;;
365;-94;;;;;;;;;
366;-91;;;;;;;;;
36?;%??;;;;;;;;;
F;75450;64;13:34:9:0;51.452.175.000;5.485.840.000;9;A;9292;;
330;-91;;;;;;;;;
331;-91;;;;;;;;;
332;-91;;;;;;;;;
333;-92;;;;;;;;;
334;-91;;;;;;;;;
335;-91;;;;;;;;;
336;-91;;;;;;;;;
338;-93;;;;;;;;;
339;-91;;;;;;;;;
340;-92;;;;;;;;;
341;-91;;;;;;;;;
342;-91;;;;;;;;;
343;-91;;;;;;;;;
344;-91;;;;;;;;;
345;-92;;;;;;;;;
346;-92;;;;;;;;;
347;-93;;;;;;;;;
348;-93;;;;;;;;;
349;-93;;;;;;;;;
350;-94;;;;;;;;;
351;-96;;;;;;;;;
352;-97;;;;;;;;;
F;75450;64;13:34:9:0;51.452.175.000;5.485.840.000;9;A;9292;;
355;-99;;;;;;;;;
356;-98;;;;;;;;;
357;-98;;;;;;;;;
358;-96;;;;;;;;;
359;-96;;;;;;;;;
360;-97;;;;;;;;;
361;-95;;;;;;;;;
362;-97;;;;;;;;;
363;-96;;;;;;;;;
364;-98;;;;;;;;;
365;-99;;;;;;;;;
366;-98;;;;;;;;;
367;-97;;;;;;;;;
368;-99;;;;;;;;;
370;-101;;;;;;;;;
371;-101;;;;;;;;;
372;-97;;;;;;;;;
373;-98;;;;;;;;;
3?<l'?a?dl??;;;;;;;;;;
G;98994;65;13:34:9:0;51.452.175.000;5.486.633.333;8;A;9292;;
338;-95;;;;;;;;;
339;-95;;;;;;;;;
340;-97;;;;;;;;;
341;-95;;;;;;;;;
342;-98;;;;;;;;;
343;-95;;;;;;;;;
344;-95;;;;;;;;;
345;-94;;;;;;;;;
346;-95;;;;;;;;;
347;-95;;;;;;;;;
348;-96;;;;;;;;;
349;-96;;;;;;;;;
350;-95;;;;;;;;;
351;-96;;;;;;;;;
352;-96;;;;;;;;;
353;-99;;;;;;;;;
355;-101;;;;;;;;;
356;-99;;;;;;;;;
357;-97;;;;;;;;;
358;-101;;;;;;;;;
359;-100;;;;;;;;;
G;98994;65;13:34:9:0;51.452.175.000;5.486.633.333;8;A;9292;;
360;-101;;;;;;;;;
361;-98;;;;;;;;;
362;-98;;;;;;;;;
363;-97;;;;;;;;;
364;-95;;;;;;;;;
365;-97;;;;;;;;;
366;-96;;;;;;;;;
367;-97;;;;;;;;;
368;-97;;;;;;;;;
370;-98;;;;;;;;;
371;-96;;;;;;;;;
372;-96;;;;;;;;;
373;-94;;;;;;;;;
374;-96;;;;;;;;;
375;-94;;;;;;;;;
376;-96;;;;;;;;;
378;-95;;;;;;;;;
379;-99;;;;;;;;;
380;-98;;;;;;;;;
"??9};4??0BP??MtM?1'?k?";;;;;;;;;;
B;16686;5;13:34:11:0;51.451.351.667;5.486.620.000;9;A;9292;;
346;-95;;;;;;;;;
347;-96;;;;;;;;;
348;-96;;;;;;;;;
349;-96;;;;;;;;;
350;-96;;;;;;;;;
351;-95;;;;;;;;;
352;-95;;;;;;;;;
355;-93;;;;;;;;;
356;-93;;;;;;;;;
357;-93;;;;;;;;;
358;-96;;;;;;;;;
359;-96;;;;;;;;;
360;-95;;;;;;;;;
361;-96;;;;;;;;;
362;-99;;;;;;;;;
363;-97;;;;;;;;;
364;-94;;;;;;;;;
365;-94;;;;;;;;;
366;-94;;;;;;;;;
367;-93;;;;;;;;;
368;-94;;;;;;;;;
369;-97;;;;;;;;;
B;16686;5;13:34:11:0;51.451.351.667;5.486.620.000;9;A;9292;;
370;-97;;;;;;;;;
371;-95;;;;;;;;;
372;-93;;;;;;;;;
373;-92;;;;;;;;;
374;-92;;;;;;;;;
375;-92;;;;;;;;;
376;-95;;;;;;;;;
377;-93;;;;;;;;;
378;-93;;;;;;;;;
379;-94;;;;;;;;;
380;-95;;;;;;;;;
381;-97;;;;;;;;;
382;-96;;;;;;;;;
383;-98;;;;;;;;;
384;-98;;;;;;;;;
385;-98;;;;;;;;;
386;-99;;;;;;;;;
387;-101;;;;;;;;;
381=;m?D????????e?R??;;;;;;;;;
B;16686;5;Q?[?'??3dp??l;;;;;;;
?y??C???*?i<6g`000;9;A;9292;;;;;;;
391;-96;;;;;;;;;
C;58977;77;13:34:13:0;51.451.371.667;5.485.870.000;10;A;9292;;
355;-96;;;;;;;;;
356;-101;;;;;;;;;
357;-96;;;;;;;;;
358;-92;;;;;;;;;
359;-92;;;;;;;;;
360;-92;;;;;;;;;
361;-89;;;;;;;;;
362;-90;;;;;;;;;
363;-92;;;;;;;;;
364;-89;;;;;;;;;
365;-91;;;;;;;;;
366;-90;;;;;;;;;
367;-87;;;;;;;;;
368;-86;;;;;;;;;
370;-85;;;;;;;;;
371;-85;;;;;;;;;
372;-85;;;;;;;;;
373;-85;;;;;;;;;
374;-85;;;;;;;;;
375;-85;;;;;;;;;
376;-87;;;;;;;;;
C;58977;77;13:34:13:0;51.451.371.667;5.485.870.000;10;A;9292;;
377;-88;;;;;;;;;
378;-86;;;;;;;;;
379;-86;;;;;;;;;
380;-86;;;;;;;;;
381;-84;;;;;;;;;
382;-84;;;;;;;;;
383;-84;;;;;;;;;
384;-84;;;;;;;;;
385;-82;;;;;;;;;
386;-82;;;;;;;;;
387;-82;;;;;;;;;
388;-81;;;;;;;;;
389;-80;;;;;;;;;
390;-80;;;;;;;;;
391;-79;;;;;;;;;
392;-78;;;;;;;;;
395;-78;;;;;;;;;
396;-78;;;;;;;;;
397;-77;;;;;;;;;
"*;????j?4?sc'?>";;;;;;;;;;
E;32828;73;13:34:16:0;51.451.796.667;5.486.195.000;7;A;9292;;
370;-91;;;;;;;;;
371;-93;;;;;;;;;
372;-92;;;;;;;;;
373;-94;;;;;;;;;
374;-94;;;;;;;;;
375;-90;;;;;;;;;
376;-89;;;;;;;;;
378;-91;;;;;;;;;
379;-87;;;;;;;;;
380;-87;;;;;;;;;
381;-86;;;;;;;;;
382;-87;;;;;;;;;
383;-88;;;;;;;;;
384;-90;;;;;;;;;
386;-102;;;;;;;;;
387;-100;;;;;;;;;
388;-97;;;;;;;;;
389;-93;;;;;;;;;
390;-100;;;;;;;;;
391;-99;;;;;;;;;
392;-98;;;;;;;;;
E;32828;73;13:34:16:0;51.451.796.667;5.486.195.000;7;A;9292;;
395;-91;;;;;;;;;
396;-90;;;;;;;;;
397;-90;;;;;;;;;
398;-93;;;;;;;;;
399;-94;;;;;;;;;
400;-92;;;;;;;;;
402;-90;;;;;;;;;
403;-90;;;;;;;;;
404;-89;;;;;;;;;
405;-91;;;;;;;;;
406;-92;;;;;;;;;
407;-92;;;;;;;;;
408;-94;;;;;;;;;
409;-95;;;;;;;;;
410;-91;;;;;;;;;
411;-92;;;;;;;;;
412;-89;;;;;;;;;
413;-92;;;;;;;;;
414;-90;;;;;;;;;
415??4X;;;;;;;;;;
F;75450;65;13:34:18:0;51.452.175.000;5.485.841.667;7;A;9292;;
378;-95;;;;;;;;;
379;-99;;;;;;;;;
380;-100;;;;;;;;;
381;-99;;;;;;;;;
382;-97;;;;;;;;;
383;-102;;;;;;;;;
384;-101;;;;;;;;;
386;-100;;;;;;;;;
387;-98;;;;;;;;;
388;-99;;;;;;;;;
389;-99;;;;;;;;;
390;-98;;;;;;;;;
391;-97;;;;;;;;;
392;-98;;;;;;;;;
393;-97;;;;;;;;;
394;-95;;;;;;;;;
395;-97;;;;;;;;;
396;-97;;;;;;;;;
397;-95;;;;;;;;;
398;-97;;;;;;;;;
399;-96;;;;;;;;;
F;75450;65;13:34:18:0;51.452.175.000;5.485.841.667;7;A;9292;;
400;-97;;;;;;;;;
402;-99;;;;;;;;;
403;-99;;;;;;;;;
404;-99;;;;;;;;;
405;-99;;;;;;;;;
406;-102;;;;;;;;;
407;-99;;;;;;;;;
408;-97;;;;;;;;;
409;-103;;;;;;;;;
410;-103;;;;;;;;;
411;-102;;;;;;;;;
412;-101;;;;;;;;;
413;-100;;;;;;;;;
414;-103;;;;;;;;;
415;-98;;;;;;;;;
416;-102;;;;;;;;;
419;-103;;;;;;;;;
420;-????4?2&$???L????';;;;;;;;;
-*???k?;;;;;;;;;;
G;98994;66;13:34:20:0;51.452.175.000;5.486.633.333;8;A;9292;;
386;-95;;;;;;;;;
387;-99;;;;;;;;;
388;-101;;;;;;;;;
390;-102;;;;;;;;;
391;-104;;;;;;;;;
392;-100;;;;;;;;;
393;-103;;;;;;;;;
394;-98;;;;;;;;;
395;-101;;;;;;;;;
396;-99;;;;;;;;;
397;-101;;;;;;;;;
398;-101;;;;;;;;;
399;-98;;;;;;;;;
400;-99;;;;;;;;;
401;-99;;;;;;;;;
403;-104;;;;;;;;;
404;-102;;;;;;;;;
?:;-100;;;;;;;;;
807;-100;;;;;;;;;
409;-101;;;;;;;;;
G;98994;66;13:34:20:0;51.452.175.000;5.486.633.333;8;A;9292;;
410;-99;;;;;;;;;
411;-100;;;;;;;;;
412;-101;;;;;;;;;
